Review_ID,Customer_Review,True_Sentiment
122,"<div>It's an okay product, similar to others I've used.</div>",Neutral
123,Super impressed with the build quality and design 😊,Positive
124,"Perfect fit and amazing material, 10/10 would recommend",Positive
125,Nothing to complain about but nothing impressive either   ,Neutral
126,<p>Absolutely love it! Works perfectly and looks great.</p>,Positive
127,"<div>It's an okay product, similar to others I've used.</div>",Neutral
128,"Really good value for money, will buy again 👍",Positive
129,"decent for the price, not amazing but not bad either",Neutral
130,"I regret this purchase so much, total disappointment lol",Negative
131,"<span>Cheaply made, not worth the price at all</span>",Negative
132,"Five stars, no question. Will be buying more from this brand",Positive
133,"<div>It's an okay product, similar to others I've used.</div>",Neutral
134,"Horrible quality, fell apart within a week 😠😠",Negative
135,Super impressed with the build quality and design 😊 fr fr,Positive
136,"Mediocre experience, neither great nor terrible",Neutral
137,"<p>Average product, met basic expectations.</p>",Neutral
138,"Does not work, false advertising, very upset customer",Negative
139,"Defective item, had to return it immediately",Negative
140,<div>Product arrived damaged and seller refused refund.</div>,Negative
141,"Mediocre experience, neither great nor terrible",Neutral
142,"Outstanding quality, arrived quickly, very satisfied customer here fr fr",Positive
143,"do not buy this, worst purchase ever ngl",Negative
144,"Extremely unhappy with this product, returning it ASAP",Negative
145,"great quality, fast shipping, highly recommend!!",Positive
146,"Love love LOVE this product, can't recommend enough ",Positive
147,"It's okay, does the job but nothing special.",Neutral
148,"Outstanding quality, arrived quickly, very satisfied customer here",Positive
149,this is garbage honestly   never buying again tbh,Negative
150,"Terrible product, broke after 2 days!!! waste of money 😡 lol",Negative
151,"Five stars, no question. Will be buying more from this brand",Positive
152,this is garbage honestly   never buying again,Negative
153,"Poor quality control, item was broken on arrival",Negative
154,"Does not work, false advertising, very upset customer",Negative
155,"Extremely unhappy with this product, returning it ASAP ngl",Negative
156,I'm so happy with this purchase 🎉 exceeded my expectations lol,Positive
157,I'm so happy with this purchase 🎉 exceeded my expectations,Positive
158,"Pretty average overall, might consider other options next time",Neutral
159,<p>Absolutely love it! Works perfectly and looks great.</p> lol,Positive
160,"<span>Best purchase ever, totally worth the price</span> tbh",Positive
161,"Does not work, false advertising, very upset customer",Negative
162,<p>Very disappointed. Quality is poor and it stopped working.</p> ,Negative
163,"decent for the price, not amazing but not bad either",Neutral
164,"do not buy this, worst purchase ever",Negative
165,"Perfect fit and amazing material, 10/10 would recommend tbh",Positive
166,"Love love LOVE this product, can't recommend enough",Positive
167,"great quality, fast shipping, highly recommend!! ngl",Positive
168,"Love love LOVE this product, can't recommend enough ",Positive
169,"Standard quality, does what it says on the box",Neutral
170,"Awful experience, customer service was useless too 👎 ",Negative
171,"Extremely unhappy with this product, returning it ASAP",Negative
172,"<span>Best purchase ever, totally worth the price</span>",Positive
173,"<span>Best purchase ever, totally worth the price</span>",Positive
174,"Awful experience, customer service was useless too 👎 ngl",Negative
175,"Really good value for money, will buy again 👍",Positive
176,"Defective item, had to return it immediately",Negative
177,"Defective item, had to return it immediately ngl",Negative
178,This exceeded my expectations!! Super happy with it.,Positive
179,"Five stars, no question. Will be buying more from this brand",Positive
180,"Mediocre experience, neither great nor terrible",Neutral
181,This exceeded my expectations!! Super happy with it.,Positive
182,<p>Very disappointed. Quality is poor and it stopped working.</p>,Negative
183,"Works fine I guess, no strong feelings either way",Neutral
184,"Works fine I guess, no strong feelings either way",Neutral
185,<p>Absolutely love it! Works perfectly and looks great.</p> ngl,Positive
186,This product is AMAZING!!! Best purchase I've made this year 😍😍 ,Positive
187,"Love love LOVE this product, can't recommend enough",Positive
188,I'm so happy with this purchase 🎉 exceeded my expectations,Positive
189,"Pretty average overall, might consider other options next time fr fr",Neutral
190,"It's okay, does the job but nothing special. lol",Neutral
191,"<span>Best purchase ever, totally worth the price</span>",Positive
192,"Defective item, had to return it immediately",Negative
193,"Terrible product, broke after 2 days!!! waste of money 😡",Negative
194,I'm so happy with this purchase 🎉 exceeded my expectations lol,Positive
195,"Poor quality control, item was broken on arrival",Negative
196,"It's okay, does the job but nothing special.",Neutral
197,"Works exactly as advertised, no complaints at all!!!",Positive
198,"Wow this is fantastic, better than I expected   ",Positive
199,"<p>Average product, met basic expectations.</p>",Neutral
200,"Horrible quality, fell apart within a week 😠😠",Negative
201,I'm so happy with this purchase 🎉 exceeded my expectations,Positive
202,<div>Product arrived damaged and seller refused refund.</div>,Negative
203,"Perfect fit and amazing material, 10/10 would recommend",Positive
204,This exceeded my expectations!! Super happy with it. fr fr,Positive
205,"Mediocre experience, neither great nor terrible fr fr",Neutral
206,"<span>Best purchase ever, totally worth the price</span>",Positive
207,"Pretty average overall, might consider other options next time",Neutral
208,"Worst customer service I've ever dealt with, avoid this seller",Negative
209,This exceeded my expectations!! Super happy with it.,Positive
210,"Awful experience, customer service was useless too 👎",Negative
211,"Extremely unhappy with this product, returning it ASAP",Negative
212,This exceeded my expectations!! Super happy with it.,Positive
213,Super impressed with the build quality and design 😊,Positive
214,"Really good value for money, will buy again 👍",Positive
215,I'm so happy with this purchase 🎉 exceeded my expectations lol,Positive
216,<p>Absolutely love it! Works perfectly and looks great.</p>,Positive
217,"Defective item, had to return it immediately tbh",Negative
218,"Wow this is fantastic, better than I expected   ",Positive
219,"Really good value for money, will buy again 👍",Positive
220,"Complete waste of money, doesn't work as described at all tbh",Negative
221,"Works exactly as advertised, no complaints at all!!!",Positive
222,"<span>Best purchase ever, totally worth the price</span>",Positive
223,"It's okay, does the job but nothing special.",Neutral
224,"<p>Average product, met basic expectations.</p>",Neutral
225,This product is AMAZING!!! Best purchase I've made this year 😍😍 tbh,Positive
226,"<span>Cheaply made, not worth the price at all</span>",Negative
227,"Wow this is fantastic, better than I expected   ",Positive
228,Super impressed with the build quality and design 😊,Positive
229,"Works exactly as advertised, no complaints at all!!!",Positive
230,<p>Absolutely love it! Works perfectly and looks great.</p> fr fr,Positive
231,I'm so happy with this purchase 🎉 exceeded my expectations,Positive
232,"Awful experience, customer service was useless too 👎",Negative
233,"Mediocre experience, neither great nor terrible",Neutral
234,This exceeded my expectations!! Super happy with it.,Positive
235,"great quality, fast shipping, highly recommend!!",Positive
236,"Really good value for money, will buy again 👍",Positive
237,"great quality, fast shipping, highly recommend!!",Positive
238,<div>Product arrived damaged and seller refused refund.</div>,Negative
239,This exceeded my expectations!! Super happy with it.,Positive
240,"Works fine I guess, no strong feelings either way",Neutral
241,"Does not work, false advertising, very upset customer",Negative
242,"Poor quality control, item was broken on arrival",Negative
243,<p>Very disappointed. Quality is poor and it stopped working.</p>,Negative
244,This exceeded my expectations!! Super happy with it. ,Positive
245,"<p>Average product, met basic expectations.</p>",Neutral
246,"Terrible product, broke after 2 days!!! waste of money 😡",Negative
247,"Perfect fit and amazing material, 10/10 would recommend ",Positive
248,"Does not work, false advertising, very upset customer",Negative
249,"Terrible product, broke after 2 days!!! waste of money 😡 lol",Negative
250,"Works fine I guess, no strong feelings either way",Neutral
251,"do not buy this, worst purchase ever",Negative
252,"Really good value for money, will buy again 👍",Positive
253,"I regret this purchase so much, total disappointment tbh",Negative
254,"Works fine I guess, no strong feelings either way",Neutral
255,"Standard quality, does what it says on the box",Neutral
256,"Poor quality control, item was broken on arrival",Negative
257,"It's okay, does the job but nothing special.",Neutral
258,"great quality, fast shipping, highly recommend!! tbh",Positive
259,This product is AMAZING!!! Best purchase I've made this year 😍😍,Positive
260,"Standard quality, does what it says on the box ngl",Neutral
261,"Poor quality control, item was broken on arrival",Negative
262,"It's fine, gets the job done without any issues",Neutral
263,"<div>It's an okay product, similar to others I've used.</div>",Neutral
264,"Really good value for money, will buy again 👍 ",Positive
265,"Perfect fit and amazing material, 10/10 would recommend",Positive
266,"It's fine, gets the job done without any issues",Neutral
267,"decent for the price, not amazing but not bad either",Neutral
268,"Awful experience, customer service was useless too 👎",Negative
269,"<div>It's an okay product, similar to others I've used.</div> fr fr",Neutral
270,"Terrible product, broke after 2 days!!! waste of money 😡 ",Negative
271,"Mediocre experience, neither great nor terrible",Neutral
272,This product is AMAZING!!! Best purchase I've made this year 😍😍,Positive
273,"<span>Cheaply made, not worth the price at all</span>",Negative
274,"Wow this is fantastic, better than I expected   ",Positive
275,"Terrible product, broke after 2 days!!! waste of money 😡",Negative
276,"Terrible product, broke after 2 days!!! waste of money 😡",Negative
277,"Worst customer service I've ever dealt with, avoid this seller",Negative
278,"It's fine, gets the job done without any issues",Neutral
279,"Love love LOVE this product, can't recommend enough ",Positive
280,"do not buy this, worst purchase ever",Negative
281,"Terrible product, broke after 2 days!!! waste of money 😡 ",Negative
282,<p>Absolutely love it! Works perfectly and looks great.</p> fr fr,Positive
283,<p>Absolutely love it! Works perfectly and looks great.</p>,Positive
284,"Outstanding quality, arrived quickly, very satisfied customer here",Positive
285,"<p>Average product, met basic expectations.</p>",Neutral
286,"Defective item, had to return it immediately",Negative
287,"Works exactly as advertised, no complaints at all!!!",Positive
288,"Works fine I guess, no strong feelings either way",Neutral
289,"Really good value for money, will buy again 👍",Positive
290,<p>Very disappointed. Quality is poor and it stopped working.</p> ,Negative
291,"Awful experience, customer service was useless too 👎",Negative
292,"Worst customer service I've ever dealt with, avoid this seller",Negative
293,"Worst customer service I've ever dealt with, avoid this seller lol",Negative
294,"Outstanding quality, arrived quickly, very satisfied customer here lol",Positive
295,"Really good value for money, will buy again 👍 ",Positive
296,"Outstanding quality, arrived quickly, very satisfied customer here",Positive
297,"Love love LOVE this product, can't recommend enough",Positive
298,Nothing to complain about but nothing impressive either   ,Neutral
299,"Poor quality control, item was broken on arrival ngl",Negative
300,I'm so happy with this purchase 🎉 exceeded my expectations ngl,Positive
301,I'm so happy with this purchase 🎉 exceeded my expectations ngl,Positive
302,"Really good value for money, will buy again 👍 fr fr",Positive
303,"Perfect fit and amazing material, 10/10 would recommend",Positive
304,"Perfect fit and amazing material, 10/10 would recommend",Positive
305,<div>Product arrived damaged and seller refused refund.</div>,Negative
306,This exceeded my expectations!! Super happy with it.,Positive
307,this is garbage honestly   never buying again lol,Negative
308,"It's okay, does the job but nothing special.",Neutral
309,This exceeded my expectations!! Super happy with it. ,Positive
310,"Pretty average overall, might consider other options next time",Neutral
311,<p>Absolutely love it! Works perfectly and looks great.</p> lol,Positive
312,"Love love LOVE this product, can't recommend enough",Positive
313,"Awful experience, customer service was useless too 👎",Negative
314,"Horrible quality, fell apart within a week 😠😠",Negative
315,"<div>Excellent product, exactly as described. 5 stars!</div> fr fr",Positive
316,"Poor quality control, item was broken on arrival",Negative
317,this is garbage honestly   never buying again,Negative
318,"Five stars, no question. Will be buying more from this brand",Positive
319,<p>Very disappointed. Quality is poor and it stopped working.</p> fr fr,Negative
320,"Wow this is fantastic, better than I expected   ",Positive
321,"<div>Excellent product, exactly as described. 5 stars!</div>",Positive
322,"great quality, fast shipping, highly recommend!!",Positive
323,This exceeded my expectations!! Super happy with it.,Positive
324,"Does not work, false advertising, very upset customer",Negative
325,"Horrible quality, fell apart within a week 😠😠",Negative
326,"<span>Best purchase ever, totally worth the price</span>",Positive
327,<div>Product arrived damaged and seller refused refund.</div>,Negative
328,"Outstanding quality, arrived quickly, very satisfied customer here ",Positive
329,This product is AMAZING!!! Best purchase I've made this year 😍😍,Positive
330,"Defective item, had to return it immediately",Negative
331,"Works exactly as advertised, no complaints at all!!!",Positive
332,"Horrible quality, fell apart within a week 😠😠 ngl",Negative
333,"Five stars, no question. Will be buying more from this brand lol",Positive
334,"Five stars, no question. Will be buying more from this brand fr fr",Positive
335,"<div>Excellent product, exactly as described. 5 stars!</div> lol",Positive
336,"Five stars, no question. Will be buying more from this brand",Positive
337,<p>Absolutely love it! Works perfectly and looks great.</p>,Positive
338,"<span>Best purchase ever, totally worth the price</span>",Positive
339,"Love love LOVE this product, can't recommend enough",Positive
340,"decent for the price, not amazing but not bad either",Neutral
341,"<div>It's an okay product, similar to others I've used.</div> ngl",Neutral
342,"Outstanding quality, arrived quickly, very satisfied customer here",Positive
343,"Works fine I guess, no strong feelings either way",Neutral
344,"<span>Cheaply made, not worth the price at all</span> ngl",Negative
345,"Awful experience, customer service was useless too 👎 ngl",Negative
346,"Love love LOVE this product, can't recommend enough",Positive
347,"I regret this purchase so much, total disappointment ngl",Negative
348,"Five stars, no question. Will be buying more from this brand",Positive
349,"Five stars, no question. Will be buying more from this brand",Positive
350,"Works exactly as advertised, no complaints at all!!!",Positive
351,"Terrible product, broke after 2 days!!! waste of money 😡 lol",Negative
352,"Perfect fit and amazing material, 10/10 would recommend tbh",Positive
353,"Works exactly as advertised, no complaints at all!!!",Positive
354,"<div>Excellent product, exactly as described. 5 stars!</div>",Positive
355,This product is AMAZING!!! Best purchase I've made this year 😍😍,Positive
356,"Terrible product, broke after 2 days!!! waste of money 😡",Negative
357,this is garbage honestly   never buying again,Negative
358,Super impressed with the build quality and design 😊,Positive
359,"decent for the price, not amazing but not bad either",Neutral
360,"Perfect fit and amazing material, 10/10 would recommend",Positive
361,"<div>It's an okay product, similar to others I've used.</div> fr fr",Neutral
362,"<span>Best purchase ever, totally worth the price</span>",Positive
363,"I regret this purchase so much, total disappointment",Negative
364,"Love love LOVE this product, can't recommend enough",Positive
365,"<span>Best purchase ever, totally worth the price</span> tbh",Positive
366,"Love love LOVE this product, can't recommend enough",Positive
367,"Terrible product, broke after 2 days!!! waste of money 😡",Negative
368,<p>Absolutely love it! Works perfectly and looks great.</p>,Positive
369,<p>Absolutely love it! Works perfectly and looks great.</p>,Positive
370,"Five stars, no question. Will be buying more from this brand",Positive
371,"<span>Cheaply made, not worth the price at all</span>",Negative
372,"Poor quality control, item was broken on arrival",Negative
373,"great quality, fast shipping, highly recommend!!",Positive
374,"Love love LOVE this product, can't recommend enough",Positive
375,"It's okay, does the job but nothing special.",Neutral
376,"Works exactly as advertised, no complaints at all!!!",Positive
377,this is garbage honestly   never buying again,Negative
378,"Outstanding quality, arrived quickly, very satisfied customer here",Positive
379,"Horrible quality, fell apart within a week 😠😠",Negative
380,"decent for the price, not amazing but not bad either",Neutral
381,"Really good value for money, will buy again 👍",Positive
382,"great quality, fast shipping, highly recommend!!",Positive
383,This product is AMAZING!!! Best purchase I've made this year 😍😍,Positive
384,<div>Product arrived damaged and seller refused refund.</div>,Negative
385,"Wow this is fantastic, better than I expected   ",Positive
386,"Five stars, no question. Will be buying more from this brand",Positive
387,"Five stars, no question. Will be buying more from this brand",Positive
388,"Extremely unhappy with this product, returning it ASAP lol",Negative
389,"Five stars, no question. Will be buying more from this brand",Positive
390,this is garbage honestly   never buying again,Negative
391,"Awful experience, customer service was useless too 👎",Negative
392,"Perfect fit and amazing material, 10/10 would recommend",Positive
393,I'm so happy with this purchase 🎉 exceeded my expectations,Positive
394,"Defective item, had to return it immediately",Negative
395,<p>Very disappointed. Quality is poor and it stopped working.</p>,Negative
396,"Wow this is fantastic, better than I expected   ",Positive
397,"Extremely unhappy with this product, returning it ASAP",Negative
398,"Love love LOVE this product, can't recommend enough",Positive
399,"Standard quality, does what it says on the box",Neutral
400,"Worst customer service I've ever dealt with, avoid this seller",Negative
401,"<span>Cheaply made, not worth the price at all</span> fr fr",Negative
402,"Poor quality control, item was broken on arrival",Negative
403,"Five stars, no question. Will be buying more from this brand",Positive
404,"Works fine I guess, no strong feelings either way",Neutral
405,"Does not work, false advertising, very upset customer fr fr",Negative
406,"decent for the price, not amazing but not bad either",Neutral
407,"Five stars, no question. Will be buying more from this brand",Positive
408,"Standard quality, does what it says on the box",Neutral
409,"Terrible product, broke after 2 days!!! waste of money 😡",Negative
410,"great quality, fast shipping, highly recommend!!",Positive
411,Nothing to complain about but nothing impressive either    tbh,Neutral
412,Super impressed with the build quality and design 😊,Positive
413,"Defective item, had to return it immediately",Negative
414,"Works exactly as advertised, no complaints at all!!!",Positive
415,"<span>Cheaply made, not worth the price at all</span>",Negative
416,Super impressed with the build quality and design 😊,Positive
417,I'm so happy with this purchase 🎉 exceeded my expectations ngl,Positive
418,"do not buy this, worst purchase ever",Negative
419,"<p>Average product, met basic expectations.</p>",Neutral
420,"Complete waste of money, doesn't work as described at all",Negative
421,"Works exactly as advertised, no complaints at all!!!",Positive
422,This product is AMAZING!!! Best purchase I've made this year 😍😍,Positive
423,"Works exactly as advertised, no complaints at all!!!",Positive
424,This exceeded my expectations!! Super happy with it.,Positive
425,"Awful experience, customer service was useless too 👎",Negative
426,I'm so happy with this purchase 🎉 exceeded my expectations,Positive
427,"Works exactly as advertised, no complaints at all!!!",Positive
428,"Five stars, no question. Will be buying more from this brand tbh",Positive
429,"Wow this is fantastic, better than I expected   ",Positive
430,<div>Product arrived damaged and seller refused refund.</div> fr fr,Negative
431,"Awful experience, customer service was useless too 👎",Negative
432,"Terrible product, broke after 2 days!!! waste of money 😡",Negative
433,"Perfect fit and amazing material, 10/10 would recommend",Positive
434,I'm so happy with this purchase 🎉 exceeded my expectations tbh,Positive
435,Nothing to complain about but nothing impressive either   ,Neutral
436,"<div>Excellent product, exactly as described. 5 stars!</div> lol",Positive
437,"Extremely unhappy with this product, returning it ASAP",Negative
438,"<div>Excellent product, exactly as described. 5 stars!</div> ngl",Positive
439,"Defective item, had to return it immediately",Negative
440,"Love love LOVE this product, can't recommend enough tbh",Positive
441,"Perfect fit and amazing material, 10/10 would recommend",Positive
442,"Works exactly as advertised, no complaints at all!!! ",Positive
443,this is garbage honestly   never buying again lol,Negative
444,<p>Very disappointed. Quality is poor and it stopped working.</p> ngl,Negative
445,"great quality, fast shipping, highly recommend!! ",Positive
446,<div>Product arrived damaged and seller refused refund.</div>,Negative
447,"It's okay, does the job but nothing special.",Neutral
448,<p>Very disappointed. Quality is poor and it stopped working.</p> ,Negative
449,"Really good value for money, will buy again 👍",Positive
450,"Wow this is fantastic, better than I expected    ngl",Positive
451,"Really good value for money, will buy again 👍 ",Positive
452,"Love love LOVE this product, can't recommend enough",Positive
453,<p>Absolutely love it! Works perfectly and looks great.</p>,Positive
454,"Standard quality, does what it says on the box",Neutral
455,"Five stars, no question. Will be buying more from this brand",Positive
456,"Worst customer service I've ever dealt with, avoid this seller fr fr",Negative
457,<div>Product arrived damaged and seller refused refund.</div>,Negative
458,"Terrible product, broke after 2 days!!! waste of money 😡",Negative
459,"<span>Best purchase ever, totally worth the price</span>",Positive
460,"Complete waste of money, doesn't work as described at all lol",Negative
461,"Mediocre experience, neither great nor terrible",Neutral
462,"Mediocre experience, neither great nor terrible",Neutral
463,"Perfect fit and amazing material, 10/10 would recommend fr fr",Positive
464,"Wow this is fantastic, better than I expected   ",Positive
465,"Complete waste of money, doesn't work as described at all lol",Negative
466,"Perfect fit and amazing material, 10/10 would recommend",Positive
467,Nothing to complain about but nothing impressive either   ,Neutral
468,"Outstanding quality, arrived quickly, very satisfied customer here ngl",Positive
469,"Perfect fit and amazing material, 10/10 would recommend",Positive
470,"Works exactly as advertised, no complaints at all!!!",Positive
471,<p>Absolutely love it! Works perfectly and looks great.</p>,Positive
472,"<span>Cheaply made, not worth the price at all</span>",Negative
473,"Five stars, no question. Will be buying more from this brand ngl",Positive
474,"Love love LOVE this product, can't recommend enough",Positive
475,"<div>It's an okay product, similar to others I've used.</div>",Neutral
476,"Defective item, had to return it immediately",Negative
477,"Really good value for money, will buy again 👍",Positive
478,"Wow this is fantastic, better than I expected   ",Positive
479,"Complete waste of money, doesn't work as described at all ngl",Negative
480,"Love love LOVE this product, can't recommend enough",Positive
481,"great quality, fast shipping, highly recommend!!",Positive
482,I'm so happy with this purchase 🎉 exceeded my expectations,Positive
483,"Really good value for money, will buy again 👍",Positive
484,"Defective item, had to return it immediately tbh",Negative
485,"Defective item, had to return it immediately",Negative
486,"<span>Cheaply made, not worth the price at all</span>",Negative
487,"Poor quality control, item was broken on arrival fr fr",Negative
488,"Outstanding quality, arrived quickly, very satisfied customer here ",Positive
489,<div>Product arrived damaged and seller refused refund.</div> tbh,Negative
490,"Horrible quality, fell apart within a week 😠😠",Negative
491,"Works exactly as advertised, no complaints at all!!!",Positive
492,This product is AMAZING!!! Best purchase I've made this year 😍😍 ngl,Positive
493,<div>Product arrived damaged and seller refused refund.</div>,Negative
494,"Awful experience, customer service was useless too 👎",Negative
495,"Really good value for money, will buy again 👍",Positive
496,"Extremely unhappy with this product, returning it ASAP",Negative
497,"Outstanding quality, arrived quickly, very satisfied customer here",Positive
498,"Outstanding quality, arrived quickly, very satisfied customer here ngl",Positive
499,"It's fine, gets the job done without any issues tbh",Neutral
500,"It's fine, gets the job done without any issues",Neutral
501,"Perfect fit and amazing material, 10/10 would recommend",Positive
502,"Works fine I guess, no strong feelings either way",Neutral
503,"Mediocre experience, neither great nor terrible",Neutral
504,"I regret this purchase so much, total disappointment",Negative
505,Super impressed with the build quality and design 😊,Positive
506,"Five stars, no question. Will be buying more from this brand",Positive
507,"decent for the price, not amazing but not bad either lol",Neutral
508,<div>Product arrived damaged and seller refused refund.</div>,Negative
509,"Love love LOVE this product, can't recommend enough",Positive
510,"Pretty average overall, might consider other options next time ngl",Neutral
511,<p>Very disappointed. Quality is poor and it stopped working.</p> fr fr,Negative
512,"<div>It's an okay product, similar to others I've used.</div>",Neutral
513,"Works fine I guess, no strong feelings either way",Neutral
