Review_ID,Customer_Review,Cleaned_Review,Predicted_Sentiment,Confidence_Score
67,"Outstanding quality, arrived quickly, very satisfied customer here","Outstanding quality, arrived quickly, very satisfied customer here",Positive,0.9998
68,"decent for the price, not amazing but not bad either","decent for the price, not amazing but not bad either",Positive,0.9969
69,"Horrible quality, fell apart within a week 😠😠","Horrible quality, fell apart within a week",Negative,0.9998
70,"<span>Best purchase ever, totally worth the price</span>","Best purchase ever, totally worth the price",Positive,0.9999
71,"Works fine I guess, no strong feelings either way fr fr","Works fine I guess, no strong feelings either way fr fr",Negative,0.8969
72,"I regret this purchase so much, total disappointment","I regret this purchase so much, total disappointment",Negative,0.9998
73,"Really good value for money, will buy again 👍 ngl","Really good value for money, will buy again ngl",Positive,0.9993
74,"Poor quality control, item was broken on arrival","Poor quality control, item was broken on arrival",Negative,0.9997
75,"Perfect fit and amazing material, 10/10 would recommend ","Perfect fit and amazing material, 10/10 would recommend",Positive,0.9999
76,"Works fine I guess, no strong feelings either way ngl","Works fine I guess, no strong feelings either way ngl",Neutral,0.638
77,"Works exactly as advertised, no complaints at all!!!","Works exactly as advertised, no complaints at all!!!",Positive,0.9439
78,"It's okay, does the job but nothing special. fr fr","It's okay, does the job but nothing special. fr fr",Negative,0.9921
79,"Does not work, false advertising, very upset customer","Does not work, false advertising, very upset customer",Negative,0.9994
80,This product is AMAZING!!! Best purchase I've made this year 😍😍,This product is AMAZING!!! Best purchase I've made this year,Positive,0.9999
81,Super impressed with the build quality and design 😊,Super impressed with the build quality and design,Positive,0.9998
82,this is garbage honestly   never buying again,this is garbage honestly never buying again,Negative,0.9979
83,"Really good value for money, will buy again 👍","Really good value for money, will buy again",Positive,0.9997
84,"<div>Excellent product, exactly as described. 5 stars!</div> lol","Excellent product, exactly as described. 5 stars! lol",Positive,0.9998
85,I'm so happy with this purchase 🎉 exceeded my expectations,I'm so happy with this purchase exceeded my expectations,Positive,0.9999
86,"Poor quality control, item was broken on arrival ","Poor quality control, item was broken on arrival",Negative,0.9997
87,"Poor quality control, item was broken on arrival ngl","Poor quality control, item was broken on arrival ngl",Negative,0.9997
88,"Awful experience, customer service was useless too 👎 tbh","Awful experience, customer service was useless too tbh",Negative,0.9998
89,"Complete waste of money, doesn't work as described at all","Complete waste of money, doesn't work as described at all",Negative,0.9998
90,"It's fine, gets the job done without any issues fr fr","It's fine, gets the job done without any issues fr fr",Positive,0.9997
91,"<div>Excellent product, exactly as described. 5 stars!</div> fr fr","Excellent product, exactly as described. 5 stars! fr fr",Positive,0.9998
92,"Works fine I guess, no strong feelings either way","Works fine I guess, no strong feelings either way",Neutral,0.6292
93,"<span>Best purchase ever, totally worth the price</span>","Best purchase ever, totally worth the price",Positive,0.9999
94,"Mediocre experience, neither great nor terrible","Mediocre experience, neither great nor terrible",Negative,0.9962
95,"Horrible quality, fell apart within a week 😠😠 ngl","Horrible quality, fell apart within a week ngl",Negative,0.9998
96,"<span>Best purchase ever, totally worth the price</span>","Best purchase ever, totally worth the price",Positive,0.9999
97,"Pretty average overall, might consider other options next time","Pretty average overall, might consider other options next time",Negative,0.9929
98,"Really good value for money, will buy again 👍","Really good value for money, will buy again",Positive,0.9997
99,"Poor quality control, item was broken on arrival","Poor quality control, item was broken on arrival",Negative,0.9997
100,"Pretty average overall, might consider other options next time","Pretty average overall, might consider other options next time",Negative,0.9929
101,"Complete waste of money, doesn't work as described at all ngl","Complete waste of money, doesn't work as described at all ngl",Negative,0.9998
102,I'm so happy with this purchase 🎉 exceeded my expectations,I'm so happy with this purchase exceeded my expectations,Positive,0.9999
103,"do not buy this, worst purchase ever ","do not buy this, worst purchase ever",Negative,0.9992
104,This exceeded my expectations!! Super happy with it.,This exceeded my expectations!! Super happy with it.,Positive,0.9999
105,<p>Absolutely love it! Works perfectly and looks great.</p> lol,Absolutely love it! Works perfectly and looks great. lol,Positive,0.9999
106,"Does not work, false advertising, very upset customer","Does not work, false advertising, very upset customer",Negative,0.9994
107,<p>Very disappointed. Quality is poor and it stopped working.</p> fr fr,Very disappointed. Quality is poor and it stopped working. fr fr,Negative,0.9998
108,"Defective item, had to return it immediately fr fr","Defective item, had to return it immediately fr fr",Negative,0.9997
109,Super impressed with the build quality and design 😊,Super impressed with the build quality and design,Positive,0.9998
110,"Defective item, had to return it immediately","Defective item, had to return it immediately",Negative,0.9998
111,"Complete waste of money, doesn't work as described at all","Complete waste of money, doesn't work as described at all",Negative,0.9998
112,"Outstanding quality, arrived quickly, very satisfied customer here","Outstanding quality, arrived quickly, very satisfied customer here",Positive,0.9998
113,<p>Absolutely love it! Works perfectly and looks great.</p> tbh,Absolutely love it! Works perfectly and looks great. tbh,Positive,0.9999
114,"Standard quality, does what it says on the box","Standard quality, does what it says on the box",Positive,0.9946
115,"Pretty average overall, might consider other options next time","Pretty average overall, might consider other options next time",Negative,0.9929
116,"I regret this purchase so much, total disappointment","I regret this purchase so much, total disappointment",Negative,0.9998
117,"Horrible quality, fell apart within a week 😠😠","Horrible quality, fell apart within a week",Negative,0.9998
118,"<div>Excellent product, exactly as described. 5 stars!</div>","Excellent product, exactly as described. 5 stars!",Positive,0.9999
119,"Love love LOVE this product, can't recommend enough lol","Love love LOVE this product, can't recommend enough lol",Positive,0.9978
120,"Defective item, had to return it immediately lol","Defective item, had to return it immediately lol",Negative,0.9997
121,"Mediocre experience, neither great nor terrible","Mediocre experience, neither great nor terrible",Negative,0.9962
122,"<div>It's an okay product, similar to others I've used.</div>","It's an okay product, similar to others I've used.",Positive,0.9998
123,Super impressed with the build quality and design 😊,Super impressed with the build quality and design,Positive,0.9998
124,"Perfect fit and amazing material, 10/10 would recommend","Perfect fit and amazing material, 10/10 would recommend",Positive,0.9999
125,Nothing to complain about but nothing impressive either   ,Nothing to complain about but nothing impressive either,Negative,0.9625
126,<p>Absolutely love it! Works perfectly and looks great.</p>,Absolutely love it! Works perfectly and looks great.,Positive,0.9999
127,"<div>It's an okay product, similar to others I've used.</div>","It's an okay product, similar to others I've used.",Positive,0.9998
128,"Really good value for money, will buy again 👍","Really good value for money, will buy again",Positive,0.9997
129,"decent for the price, not amazing but not bad either","decent for the price, not amazing but not bad either",Positive,0.9969
130,"I regret this purchase so much, total disappointment lol","I regret this purchase so much, total disappointment lol",Negative,0.9997
131,"<span>Cheaply made, not worth the price at all</span>","Cheaply made, not worth the price at all",Negative,0.9998
132,"Five stars, no question. Will be buying more from this brand","Five stars, no question. Will be buying more from this brand",Neutral,0.5308
133,"<div>It's an okay product, similar to others I've used.</div>","It's an okay product, similar to others I've used.",Positive,0.9998
134,"Horrible quality, fell apart within a week 😠😠","Horrible quality, fell apart within a week",Negative,0.9998
135,Super impressed with the build quality and design 😊 fr fr,Super impressed with the build quality and design fr fr,Positive,0.9997
136,"Mediocre experience, neither great nor terrible","Mediocre experience, neither great nor terrible",Negative,0.9962
137,"<p>Average product, met basic expectations.</p>","Average product, met basic expectations.",Positive,0.9831
138,"Does not work, false advertising, very upset customer","Does not work, false advertising, very upset customer",Negative,0.9994
139,"Defective item, had to return it immediately","Defective item, had to return it immediately",Negative,0.9998
140,<div>Product arrived damaged and seller refused refund.</div>,Product arrived damaged and seller refused refund.,Negative,0.9997
141,"Mediocre experience, neither great nor terrible","Mediocre experience, neither great nor terrible",Negative,0.9962
142,"Outstanding quality, arrived quickly, very satisfied customer here fr fr","Outstanding quality, arrived quickly, very satisfied customer here fr fr",Positive,0.9996
143,"do not buy this, worst purchase ever ngl","do not buy this, worst purchase ever ngl",Negative,0.9994
144,"Extremely unhappy with this product, returning it ASAP","Extremely unhappy with this product, returning it ASAP",Negative,0.9993
145,"great quality, fast shipping, highly recommend!!","great quality, fast shipping, highly recommend!!",Positive,0.9999
146,"Love love LOVE this product, can't recommend enough ","Love love LOVE this product, can't recommend enough",Positive,0.9984
147,"It's okay, does the job but nothing special.","It's okay, does the job but nothing special.",Negative,0.9914
148,"Outstanding quality, arrived quickly, very satisfied customer here","Outstanding quality, arrived quickly, very satisfied customer here",Positive,0.9998
149,this is garbage honestly   never buying again tbh,this is garbage honestly never buying again tbh,Negative,0.9982
150,"Terrible product, broke after 2 days!!! waste of money 😡 lol","Terrible product, broke after 2 days!!! waste of money lol",Negative,0.9997
151,"Five stars, no question. Will be buying more from this brand","Five stars, no question. Will be buying more from this brand",Neutral,0.5308
152,this is garbage honestly   never buying again,this is garbage honestly never buying again,Negative,0.9979
153,"Poor quality control, item was broken on arrival","Poor quality control, item was broken on arrival",Negative,0.9997
154,"Does not work, false advertising, very upset customer","Does not work, false advertising, very upset customer",Negative,0.9994
155,"Extremely unhappy with this product, returning it ASAP ngl","Extremely unhappy with this product, returning it ASAP ngl",Negative,0.9996
156,I'm so happy with this purchase 🎉 exceeded my expectations lol,I'm so happy with this purchase exceeded my expectations lol,Positive,0.9998
157,I'm so happy with this purchase 🎉 exceeded my expectations,I'm so happy with this purchase exceeded my expectations,Positive,0.9999
158,"Pretty average overall, might consider other options next time","Pretty average overall, might consider other options next time",Negative,0.9929
159,<p>Absolutely love it! Works perfectly and looks great.</p> lol,Absolutely love it! Works perfectly and looks great. lol,Positive,0.9999
160,"<span>Best purchase ever, totally worth the price</span> tbh","Best purchase ever, totally worth the price tbh",Positive,0.9993
161,"Does not work, false advertising, very upset customer","Does not work, false advertising, very upset customer",Negative,0.9994
162,<p>Very disappointed. Quality is poor and it stopped working.</p> ,Very disappointed. Quality is poor and it stopped working.,Negative,0.9998
163,"decent for the price, not amazing but not bad either","decent for the price, not amazing but not bad either",Positive,0.9969
164,"do not buy this, worst purchase ever","do not buy this, worst purchase ever",Negative,0.9992
165,"Perfect fit and amazing material, 10/10 would recommend tbh","Perfect fit and amazing material, 10/10 would recommend tbh",Positive,0.9998
166,"Love love LOVE this product, can't recommend enough","Love love LOVE this product, can't recommend enough",Positive,0.9984
167,"great quality, fast shipping, highly recommend!! ngl","great quality, fast shipping, highly recommend!! ngl",Positive,0.9998
168,"Love love LOVE this product, can't recommend enough ","Love love LOVE this product, can't recommend enough",Positive,0.9984
169,"Standard quality, does what it says on the box","Standard quality, does what it says on the box",Positive,0.9946
170,"Awful experience, customer service was useless too 👎 ","Awful experience, customer service was useless too",Negative,0.9998
171,"Extremely unhappy with this product, returning it ASAP","Extremely unhappy with this product, returning it ASAP",Negative,0.9993
172,"<span>Best purchase ever, totally worth the price</span>","Best purchase ever, totally worth the price",Positive,0.9999
173,"<span>Best purchase ever, totally worth the price</span>","Best purchase ever, totally worth the price",Positive,0.9999
174,"Awful experience, customer service was useless too 👎 ngl","Awful experience, customer service was useless too ngl",Negative,0.9998
175,"Really good value for money, will buy again 👍","Really good value for money, will buy again",Positive,0.9997
176,"Defective item, had to return it immediately","Defective item, had to return it immediately",Negative,0.9998
177,"Defective item, had to return it immediately ngl","Defective item, had to return it immediately ngl",Negative,0.9997
178,This exceeded my expectations!! Super happy with it.,This exceeded my expectations!! Super happy with it.,Positive,0.9999
179,"Five stars, no question. Will be buying more from this brand","Five stars, no question. Will be buying more from this brand",Neutral,0.5308
180,"Mediocre experience, neither great nor terrible","Mediocre experience, neither great nor terrible",Negative,0.9962
181,This exceeded my expectations!! Super happy with it.,This exceeded my expectations!! Super happy with it.,Positive,0.9999
182,<p>Very disappointed. Quality is poor and it stopped working.</p>,Very disappointed. Quality is poor and it stopped working.,Negative,0.9998
183,"Works fine I guess, no strong feelings either way","Works fine I guess, no strong feelings either way",Neutral,0.6292
184,"Works fine I guess, no strong feelings either way","Works fine I guess, no strong feelings either way",Neutral,0.6292
185,<p>Absolutely love it! Works perfectly and looks great.</p> ngl,Absolutely love it! Works perfectly and looks great. ngl,Positive,0.9999
186,This product is AMAZING!!! Best purchase I've made this year 😍😍 ,This product is AMAZING!!! Best purchase I've made this year,Positive,0.9999
187,"Love love LOVE this product, can't recommend enough","Love love LOVE this product, can't recommend enough",Positive,0.9984
188,I'm so happy with this purchase 🎉 exceeded my expectations,I'm so happy with this purchase exceeded my expectations,Positive,0.9999
189,"Pretty average overall, might consider other options next time fr fr","Pretty average overall, might consider other options next time fr fr",Negative,0.9932
190,"It's okay, does the job but nothing special. lol","It's okay, does the job but nothing special. lol",Negative,0.9905
191,"<span>Best purchase ever, totally worth the price</span>","Best purchase ever, totally worth the price",Positive,0.9999
192,"Defective item, had to return it immediately","Defective item, had to return it immediately",Negative,0.9998
193,"Terrible product, broke after 2 days!!! waste of money 😡","Terrible product, broke after 2 days!!! waste of money",Negative,0.9998
194,I'm so happy with this purchase 🎉 exceeded my expectations lol,I'm so happy with this purchase exceeded my expectations lol,Positive,0.9998
195,"Poor quality control, item was broken on arrival","Poor quality control, item was broken on arrival",Negative,0.9997
196,"It's okay, does the job but nothing special.","It's okay, does the job but nothing special.",Negative,0.9914
197,"Works exactly as advertised, no complaints at all!!!","Works exactly as advertised, no complaints at all!!!",Positive,0.9439
198,"Wow this is fantastic, better than I expected   ","Wow this is fantastic, better than I expected",Positive,0.9999
199,"<p>Average product, met basic expectations.</p>","Average product, met basic expectations.",Positive,0.9831
200,"Horrible quality, fell apart within a week 😠😠","Horrible quality, fell apart within a week",Negative,0.9998
201,I'm so happy with this purchase 🎉 exceeded my expectations,I'm so happy with this purchase exceeded my expectations,Positive,0.9999
202,<div>Product arrived damaged and seller refused refund.</div>,Product arrived damaged and seller refused refund.,Negative,0.9997
203,"Perfect fit and amazing material, 10/10 would recommend","Perfect fit and amazing material, 10/10 would recommend",Positive,0.9999
204,This exceeded my expectations!! Super happy with it. fr fr,This exceeded my expectations!! Super happy with it. fr fr,Positive,0.9999
205,"Mediocre experience, neither great nor terrible fr fr","Mediocre experience, neither great nor terrible fr fr",Negative,0.9975
206,"<span>Best purchase ever, totally worth the price</span>","Best purchase ever, totally worth the price",Positive,0.9999
207,"Pretty average overall, might consider other options next time","Pretty average overall, might consider other options next time",Negative,0.9929
208,"Worst customer service I've ever dealt with, avoid this seller","Worst customer service I've ever dealt with, avoid this seller",Negative,0.9998
209,This exceeded my expectations!! Super happy with it.,This exceeded my expectations!! Super happy with it.,Positive,0.9999
210,"Awful experience, customer service was useless too 👎","Awful experience, customer service was useless too",Negative,0.9998
211,"Extremely unhappy with this product, returning it ASAP","Extremely unhappy with this product, returning it ASAP",Negative,0.9993
212,This exceeded my expectations!! Super happy with it.,This exceeded my expectations!! Super happy with it.,Positive,0.9999
213,Super impressed with the build quality and design 😊,Super impressed with the build quality and design,Positive,0.9998
214,"Really good value for money, will buy again 👍","Really good value for money, will buy again",Positive,0.9997
215,I'm so happy with this purchase 🎉 exceeded my expectations lol,I'm so happy with this purchase exceeded my expectations lol,Positive,0.9998
216,<p>Absolutely love it! Works perfectly and looks great.</p>,Absolutely love it! Works perfectly and looks great.,Positive,0.9999
217,"Defective item, had to return it immediately tbh","Defective item, had to return it immediately tbh",Negative,0.9997
218,"Wow this is fantastic, better than I expected   ","Wow this is fantastic, better than I expected",Positive,0.9999
219,"Really good value for money, will buy again 👍","Really good value for money, will buy again",Positive,0.9997
220,"Complete waste of money, doesn't work as described at all tbh","Complete waste of money, doesn't work as described at all tbh",Negative,0.9998
221,"Works exactly as advertised, no complaints at all!!!","Works exactly as advertised, no complaints at all!!!",Positive,0.9439
222,"<span>Best purchase ever, totally worth the price</span>","Best purchase ever, totally worth the price",Positive,0.9999
223,"It's okay, does the job but nothing special.","It's okay, does the job but nothing special.",Negative,0.9914
224,"<p>Average product, met basic expectations.</p>","Average product, met basic expectations.",Positive,0.9831
225,This product is AMAZING!!! Best purchase I've made this year 😍😍 tbh,This product is AMAZING!!! Best purchase I've made this year tbh,Positive,0.9998
226,"<span>Cheaply made, not worth the price at all</span>","Cheaply made, not worth the price at all",Negative,0.9998
227,"Wow this is fantastic, better than I expected   ","Wow this is fantastic, better than I expected",Positive,0.9999
228,Super impressed with the build quality and design 😊,Super impressed with the build quality and design,Positive,0.9998
229,"Works exactly as advertised, no complaints at all!!!","Works exactly as advertised, no complaints at all!!!",Positive,0.9439
230,<p>Absolutely love it! Works perfectly and looks great.</p> fr fr,Absolutely love it! Works perfectly and looks great. fr fr,Positive,0.9999
231,I'm so happy with this purchase 🎉 exceeded my expectations,I'm so happy with this purchase exceeded my expectations,Positive,0.9999
232,"Awful experience, customer service was useless too 👎","Awful experience, customer service was useless too",Negative,0.9998
233,"Mediocre experience, neither great nor terrible","Mediocre experience, neither great nor terrible",Negative,0.9962
234,This exceeded my expectations!! Super happy with it.,This exceeded my expectations!! Super happy with it.,Positive,0.9999
235,"great quality, fast shipping, highly recommend!!","great quality, fast shipping, highly recommend!!",Positive,0.9999
236,"Really good value for money, will buy again 👍","Really good value for money, will buy again",Positive,0.9997
237,"great quality, fast shipping, highly recommend!!","great quality, fast shipping, highly recommend!!",Positive,0.9999
238,<div>Product arrived damaged and seller refused refund.</div>,Product arrived damaged and seller refused refund.,Negative,0.9997
239,This exceeded my expectations!! Super happy with it.,This exceeded my expectations!! Super happy with it.,Positive,0.9999
240,"Works fine I guess, no strong feelings either way","Works fine I guess, no strong feelings either way",Neutral,0.6292
241,"Does not work, false advertising, very upset customer","Does not work, false advertising, very upset customer",Negative,0.9994
242,"Poor quality control, item was broken on arrival","Poor quality control, item was broken on arrival",Negative,0.9997
243,<p>Very disappointed. Quality is poor and it stopped working.</p>,Very disappointed. Quality is poor and it stopped working.,Negative,0.9998
244,This exceeded my expectations!! Super happy with it. ,This exceeded my expectations!! Super happy with it.,Positive,0.9999
245,"<p>Average product, met basic expectations.</p>","Average product, met basic expectations.",Positive,0.9831
246,"Terrible product, broke after 2 days!!! waste of money 😡","Terrible product, broke after 2 days!!! waste of money",Negative,0.9998
247,"Perfect fit and amazing material, 10/10 would recommend ","Perfect fit and amazing material, 10/10 would recommend",Positive,0.9999
248,"Does not work, false advertising, very upset customer","Does not work, false advertising, very upset customer",Negative,0.9994
249,"Terrible product, broke after 2 days!!! waste of money 😡 lol","Terrible product, broke after 2 days!!! waste of money lol",Negative,0.9997
250,"Works fine I guess, no strong feelings either way","Works fine I guess, no strong feelings either way",Neutral,0.6292
251,"do not buy this, worst purchase ever","do not buy this, worst purchase ever",Negative,0.9992
252,"Really good value for money, will buy again 👍","Really good value for money, will buy again",Positive,0.9997
253,"I regret this purchase so much, total disappointment tbh","I regret this purchase so much, total disappointment tbh",Negative,0.9997
254,"Works fine I guess, no strong feelings either way","Works fine I guess, no strong feelings either way",Neutral,0.6292
255,"Standard quality, does what it says on the box","Standard quality, does what it says on the box",Positive,0.9946
256,"Poor quality control, item was broken on arrival","Poor quality control, item was broken on arrival",Negative,0.9997
257,"It's okay, does the job but nothing special.","It's okay, does the job but nothing special.",Negative,0.9914
258,"great quality, fast shipping, highly recommend!! tbh","great quality, fast shipping, highly recommend!! tbh",Positive,0.9998
259,This product is AMAZING!!! Best purchase I've made this year 😍😍,This product is AMAZING!!! Best purchase I've made this year,Positive,0.9999
260,"Standard quality, does what it says on the box ngl","Standard quality, does what it says on the box ngl",Positive,0.9902
261,"Poor quality control, item was broken on arrival","Poor quality control, item was broken on arrival",Negative,0.9997
262,"It's fine, gets the job done without any issues","It's fine, gets the job done without any issues",Positive,0.9998
263,"<div>It's an okay product, similar to others I've used.</div>","It's an okay product, similar to others I've used.",Positive,0.9998
264,"Really good value for money, will buy again 👍 ","Really good value for money, will buy again",Positive,0.9997
265,"Perfect fit and amazing material, 10/10 would recommend","Perfect fit and amazing material, 10/10 would recommend",Positive,0.9999
266,"It's fine, gets the job done without any issues","It's fine, gets the job done without any issues",Positive,0.9998
267,"decent for the price, not amazing but not bad either","decent for the price, not amazing but not bad either",Positive,0.9969
268,"Awful experience, customer service was useless too 👎","Awful experience, customer service was useless too",Negative,0.9998
269,"<div>It's an okay product, similar to others I've used.</div> fr fr","It's an okay product, similar to others I've used. fr fr",Positive,0.9996
270,"Terrible product, broke after 2 days!!! waste of money 😡 ","Terrible product, broke after 2 days!!! waste of money",Negative,0.9998
271,"Mediocre experience, neither great nor terrible","Mediocre experience, neither great nor terrible",Negative,0.9962
272,This product is AMAZING!!! Best purchase I've made this year 😍😍,This product is AMAZING!!! Best purchase I've made this year,Positive,0.9999
273,"<span>Cheaply made, not worth the price at all</span>","Cheaply made, not worth the price at all",Negative,0.9998
274,"Wow this is fantastic, better than I expected   ","Wow this is fantastic, better than I expected",Positive,0.9999
275,"Terrible product, broke after 2 days!!! waste of money 😡","Terrible product, broke after 2 days!!! waste of money",Negative,0.9998
276,"Terrible product, broke after 2 days!!! waste of money 😡","Terrible product, broke after 2 days!!! waste of money",Negative,0.9998
277,"Worst customer service I've ever dealt with, avoid this seller","Worst customer service I've ever dealt with, avoid this seller",Negative,0.9998
278,"It's fine, gets the job done without any issues","It's fine, gets the job done without any issues",Positive,0.9998
279,"Love love LOVE this product, can't recommend enough ","Love love LOVE this product, can't recommend enough",Positive,0.9984
280,"do not buy this, worst purchase ever","do not buy this, worst purchase ever",Negative,0.9992
